"zone","state","lga","sector","ea","hhid","indiv","s1q2","s1q3","s1q3b","s1q4","s1q4a","s1q5","s1q6_day","s1q6_month","s1q6_year","s1q7","s1q8","s1q9","s1q11","s1q12","s1q12a","s1q12a_os","s1q12b","s1q12c","s1q13","s1q15","s1q16","s1q16b","s1q17","s1q18","s1q19","s1q20","s1q21","s1q22","s1q22b","s1q23","s1q24","s1q25","s1q26","s1q27","s1q27b","s1q28","s1q28b","s1q29","s1q30","s1q31a","s1q31b","s1q31c","s1q31d","s1q32","s1q33","s1q34","s1q34b","s1q35","s1q36","s1q36b","s1q37","s1q38","s1q39","s1q39b","s1q40","s1q41"
4,1,104,2,1364,10012,5,2,9,,27,1,2,,,,1,2,,1,4,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,6,1,6,,6,1,1,9,4,2009,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,7,1,9,,4,1,1,25,8,2011,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,8,1,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10012,9,2,6,,1,1,1,12,5,2014,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10013,1,2,1,,73,1,2,,,,6,,,,,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10013,2,1,3,,40,1,2,,,,1,2,,1,12,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10013,3,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,,3703,"ABUJA",37,,,,,,,,,,,,,
4,1,104,2,1364,10013,4,2,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,,3703,"ABUJA",37,,,,,,,,,,,,,
4,1,104,2,1364,10013,5,2,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,1,,3703,"ABUJA",37,,,,,,,,,,,,,
4,1,104,2,1364,10013,6,2,12,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,1,,3703,"ABUJA",37,,,,,,,,,,,,,
4,1,104,2,1364,10013,7,2,12,,25,1,2,,,,7,,,,,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10013,8,2,12,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,,3703,"ABUJA",37,,,,,,,,,,,,,
4,1,104,2,1364,10013,9,2,12,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,,315,"AKWA IBOM",3,,,,,,,,,,,,,
4,1,104,2,1364,10013,10,1,6,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,1,1,,315,"AKWA IBOM",3,,,,,,,,,,,,,
4,1,104,2,1364,10013,11,2,12,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,,3703,"ABUJA",37,,,,,,,,,,,,,
4,1,104,2,1364,10013,12,2,9,,23,1,2,,,,1,2,,1,2,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10014,1,2,1,,62,1,2,,,,6,,,,,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10014,2,2,3,,44,1,2,,,,7,,,,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,0,10015,1,1,14,"FORMER HEAD (DEAD)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
4,1,104,2,0,10015,2,2,1,,57,1,2,,,,6,,,,,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10016,1,1,1,,46,1,2,,,,1,2,,1,2,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10016,2,2,2,,47,1,2,,,,1,2,,1,1,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10016,3,2,3,,19,1,2,,,,7,,,,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10016,4,1,3,,16,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10016,5,2,3,,8,1,2,,,,7,,,,,3,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10016,6,2,3,,22,1,2,,,,7,,,,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10017,1,1,1,,68,1,2,,,,1,2,,1,2,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10017,2,2,2,,56,1,2,,,,1,2,,1,1,3,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10017,3,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10017,4,1,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,1,"ABIA NORTH",101,"ABIA",1,,,,,,,,,,,,,
4,1,104,2,1364,10017,5,1,3,,23,1,2,,,,7,,,,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10017,6,1,3,,25,1,2,,,,7,,,,,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,104,2,1364,10018,1,1,1,,50,1,2,,,,1,2,,1,2,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
