"zone","state","lga","sector","ea","hhid","death_num","s15bq3","s15bq4","s15bq5a","s15bq5b","s15bq5c","s15bq6","s15bq6b"
5,10,1008,2,1718,100043,1,2,68,1,3,16,1,
5,10,1012,2,0,100067,1,1,67,3,5,14,2,
5,10,1010,2,20,100072,1,1,72,31,8,15,3,
5,10,1010,2,20,100072,2,2,82,13,6,13,6,"OLD AGE"
5,10,1010,2,20,100074,1,1,56,15,7,15,5,
5,10,1010,2,20,100077,1,1,61,15,11,14,1,
5,10,1010,2,0,100078,1,1,2,17,12,15,1,
5,10,1005,2,1374,100087,1,2,69,15,8,16,1,
5,10,1005,2,1374,100089,1,2,69,15,8,15,1,
5,10,1005,1,662,100093,1,1,75,25,8,14,1,
5,10,1005,1,662,100095,1,1,77,9,12,15,1,
5,10,1018,2,898,100101,1,2,71,10,6,13,1,
5,10,1018,2,898,100102,1,2,2,5,10,13,1,
5,10,1018,2,898,100104,1,1,7,10,8,14,1,
5,10,1018,2,898,100106,1,1,72,4,12,14,1,
5,10,1018,2,898,100109,1,2,30,16,3,13,1,
5,10,1018,1,634,100111,1,1,84,17,10,14,1,
5,10,1018,1,634,100111,2,1,19,27,12,15,1,
5,10,1020,1,38,100122,1,2,71,10,2,15,1,
5,10,1020,1,38,100130,1,1,62,19,10,14,1,
5,10,1025,2,1774,100136,1,1,36,11,11,14,1,
5,10,1025,2,1774,100138,1,1,51,12,5,14,1,
4,11,1112,2,78,110026,1,2,55,16,8,15,1,
4,11,1112,2,78,110028,1,1,20,5,10,15,2,
4,11,1110,2,714,110036,1,2,66,10,9,15,1,
4,11,1110,2,714,110037,1,2,77,23,7,15,1,
4,11,1110,2,714,110038,1,1,0,5,12,15,1,
4,11,1105,2,100,110064,1,1,0,15,10,14,1,
4,11,1105,2,100,110067,1,1,73,8,1,13,1,
4,11,1104,2,434,110089,1,2,7,15,9,15,1,
4,11,1109,2,672,110108,1,2,58,12,12,14,1,
4,11,1101,2,154,110132,1,1,20,10,12,14,1,
4,11,1101,2,154,110132,2,2,89,18,5,16,1,
5,12,1202,1,2146,120019,1,1,37,5,3,15,1,
5,12,1202,1,2710,120022,1,1,59,26,1,15,1,
5,12,1202,1,2710,120024,1,1,56,9,4,15,1,
5,12,1202,1,0,120027,1,1,65,12,5,13,1,
5,12,1208,2,526,120043,1,1,3,8,9,13,1,
5,12,1204,2,736,120071,1,2,72,10,8,14,1,
5,12,1204,2,736,120075,1,1,35,99,4,13,1,
5,12,1211,1,2220,120083,1,2,43,99,99,14,1,
5,12,1211,1,2220,120090,1,1,68,16,4,15,1,
6,13,1314,1,6,130015,1,1,57,99,3,15,1,
6,13,1309,2,0,130059,1,2,42,11,2,15,1,
6,13,1305,2,10,130064,1,2,31,23,6,15,1,
6,13,1305,2,10,130065,1,1,90,15,2,15,1,
6,13,1305,2,10,130068,1,1,87,99,11,14,1,
4,14,1401,2,1116,140006,1,1,94,5,11,14,5,
4,14,1408,2,1996,140021,1,1,97,20,10,14,1,
4,14,1413,1,2578,140037,1,2,70,27,6,14,1,
4,14,1415,2,952,140044,1,2,86,4,2,16,1,
4,14,1415,2,952,140045,1,2,30,20,6,15,1,
4,14,1413,2,670,140074,1,1,20,1,2,15,1,
4,14,1413,2,670,140077,1,1,99,1,11,15,1,
4,14,1410,2,236,140085,1,1,2,16,11,15,1,
4,14,1404,1,96,140097,1,1,35,1,3,16,1,
4,14,1404,1,96,140099,1,1,50,20,7,13,1,
4,14,1411,2,1066,140115,1,2,25,29,10,13,1,
4,14,1411,2,1066,140117,1,1,85,13,7,14,1,
4,14,1411,2,1066,140118,1,1,55,15,1,14,1,
4,14,1415,2,156,140133,1,2,22,12,1,14,1,
2,15,1506,1,398,150007,1,2,7,9,12,13,1,
2,15,1506,1,398,150007,2,2,30,7,1,14,1,
2,15,1508,2,1682,150013,1,1,3,12,5,13,1,
2,15,1508,2,1682,150013,2,1,5,10,3,11,1,
2,15,1508,2,1682,150017,1,1,18,7,6,14,1,
2,15,1511,2,1938,150021,1,1,2,7,10,15,1,
2,15,1511,2,1938,150025,1,1,4,26,6,14,1,
2,15,1511,2,1938,150028,1,2,41,14,10,14,1,
2,15,1510,2,616,150041,1,2,2,18,3,13,1,
2,15,1510,2,616,150042,1,2,0,7,6,14,1,
2,15,1510,2,616,150045,1,1,4,26,1,16,1,
2,15,1510,2,616,150046,1,1,5,14,3,14,1,
2,15,1510,2,616,150048,1,2,9,18,11,15,1,
2,15,1507,2,458,150053,1,1,47,17,9,14,1,
2,15,1507,2,458,150054,1,2,32,15,12,10,1,
2,15,1507,2,458,150058,1,1,50,12,3,14,1,
4,16,1626,2,1546,160002,1,1,24,15,8,15,1,
4,16,1610,2,1006,160012,1,1,75,12,3,14,1,
5,32,3221,1,0,160016,1,2,70,12,10,14,1,
4,16,1624,1,136,160019,1,2,73,20,12,14,1,
4,16,1624,1,136,160019,2,1,87,18,1,13,1,
4,16,1624,1,136,160024,1,1,92,15,11,13,1,
4,16,1608,2,1104,160027,1,1,67,14,11,13,1,
4,16,1624,1,286,160029,1,1,78,12,4,14,1,
4,16,1622,2,18,160031,1,2,75,28,4,14,1,
4,16,1624,1,136,160033,1,2,75,15,12,15,1,
4,16,1624,1,136,160033,2,2,78,11,9,14,1,
4,16,1624,1,136,160041,1,1,99,1,7,14,5,
4,16,1622,2,18,160042,1,1,3,11,11,14,1,
4,16,1602,2,1576,160048,1,2,45,19,12,13,1,
4,16,1602,2,1576,160050,1,2,85,3,6,15,1,
4,16,1613,2,440,160058,1,2,80,12,12,12,1,
4,16,1616,2,296,160061,1,2,76,6,9,15,1,
4,16,1620,2,106,160075,1,2,92,7,2,12,1,
4,16,1620,2,106,160076,1,1,27,10,11,14,2,
4,16,1620,2,106,160078,1,2,69,28,8,15,5,
4,16,1618,2,1060,160081,1,1,58,21,10,15,1,
4,16,1618,2,1060,160083,1,1,63,16,3,14,1,
4,16,1606,2,590,160108,1,1,81,10,4,15,1,
4,16,1606,2,590,160108,2,2,66,19,8,13,5,
4,16,1624,1,286,160110,1,2,31,17,7,15,1,
4,16,1603,2,158,160111,1,2,76,10,4,13,1,
4,16,1608,2,1104,160161,1,2,91,12,11,14,5,
4,16,1609,2,738,160168,1,2,87,12,6,13,1,
4,16,1608,2,1104,160173,1,1,77,8,3,14,1,
4,16,1612,2,108,160182,1,2,13,9,2,14,1,
4,16,1612,2,108,160186,1,1,57,26,6,13,1,
3,17,1706,2,284,170001,1,2,4,5,5,13,1,
3,17,1706,2,284,170005,1,2,1,10,10,15,1,
3,17,1706,2,284,170006,1,1,70,4,3,13,1,
3,17,1706,2,284,170006,2,2,65,10,5,14,1,
3,17,1706,2,284,170010,1,1,2,6,6,13,1,
3,17,1719,2,1354,170012,1,2,20,10,8,14,2,
3,17,1719,2,1354,170013,1,2,52,24,2,16,1,
3,17,1719,2,1354,170015,1,1,3,99,10,13,1,
3,17,1719,2,1354,170019,1,2,60,2,8,15,1,
3,17,1719,2,1354,170020,1,2,60,13,3,13,1,
3,17,1704,2,1080,170022,1,1,87,99,2,14,1,
3,17,1704,2,1080,170023,1,2,8,24,11,15,2,
3,17,1704,2,0,170025,1,2,82,11,12,15,1,
3,17,1704,2,1080,170026,1,2,50,2,3,13,1,
3,17,1704,2,1080,170030,1,2,3,9,9,15,1,
3,17,1722,2,96,170042,1,1,73,10,12,13,1,
3,17,1722,2,96,170044,1,1,60,7,9,13,1,
3,17,1715,2,2244,170052,1,2,70,2,3,13,1,
3,17,1715,2,2244,170055,1,1,5,22,9,10,1,
3,17,1715,2,2244,170055,2,1,4,10,4,11,1,
3,17,1715,2,2244,170055,3,1,3,29,5,12,1,
3,17,1715,2,2244,170055,4,1,5,8,6,10,1,
3,17,1715,2,2244,170055,5,1,4,5,7,11,1,
3,17,1715,2,2244,170059,1,2,58,11,11,15,1,
3,17,1710,2,546,170064,1,1,7,14,6,14,1,
3,17,1710,2,546,170067,1,1,1,22,3,16,1,
3,17,1710,2,546,170068,1,2,3,9,11,13,1,
3,17,1710,2,546,170070,1,1,3,99,10,13,1,
3,17,1713,1,226,170077,1,2,1,11,4,15,1,
3,17,1716,2,1452,170082,1,1,65,7,7,15,1,
3,17,1716,2,1452,170088,1,1,45,9,9,14,1,
