"zone","state","lga","sector","ea","hhid","shock_cd","s15aq1","s15aq1b","s15aq2","s15aq3a","s15aq3b","s15aq3c","s15aq3d","s15aq3e","s15aq4a","s15aq4b","s15aq4c","s15aq5a","s15aq5b","s15aq5c","s15aq5d","s15aq6a","s15aq6b","s15aq6c"
2,2,212,2,956,20055,19,1,,,,1,1,,,,,,1,9,8,1,4,98,
2,2,212,2,956,20055,20,1,,,,1,1,1,1,2,1,,1,8,9,1,,98,
2,2,212,2,956,20056,9,1,,,1,,1,,,1,,,21,21,21,21,98,,
2,2,212,2,956,20056,17,1,,,1,1,,,,3,,,21,21,21,21,98,,
2,2,212,2,956,20056,20,1,,,,1,1,1,,2,,,1,8,1,8,98,,
2,2,210,2,1300,20067,1,1,,,,,1,,,1,,,21,21,21,21,98,,
2,2,210,2,1300,20069,13,1,,1,,,,1,,1,,,21,,,,98,,
2,2,214,2,898,20072,1,1,,1,,,,,1,,,,,,,,98,,
2,2,214,2,898,20073,20,1,,,,1,1,1,,1,,,21,21,21,21,98,,
2,2,214,2,898,20074,2,1,,1,1,,,,,1,,,21,,,,98,,
2,2,214,2,898,20077,9,1,,1,,,,,1,1,,,21,,,,1,,
2,2,214,2,898,20079,20,1,,3,,,1,1,1,1,,,21,,,,1,,
2,2,214,2,898,20080,13,1,,1,,,,2,,1,,,11,,,,1,,
2,2,215,1,8,20084,2,1,,,1,,,,,1,,,21,,,,98,,
2,2,215,1,8,20084,20,1,,,,,,1,,1,,,21,,,,98,,
2,2,215,1,8,20090,8,1,,2,1,1,,,,1,,,1,3,8,6,98,,
2,2,215,1,8,20090,20,1,,2,,1,1,,,2,,,21,21,21,21,98,,
2,2,207,2,1302,20092,16,1,,,,,,1,,1,,,21,,,,,,
2,2,207,2,1302,20093,2,1,,,1,,,,,1,,,21,,,,98,,
2,2,207,2,1302,20095,13,1,,1,,,,1,,1,,,6,,,,98,,
2,2,207,2,1302,20098,1,1,,1,,,,,1,,,,,,,,98,,
2,2,207,2,1302,20099,12,1,,,,,,1,,1,,,21,,,,98,,
2,2,205,2,712,20102,1,1,,1,,1,,,,1,,,21,,,,,,
2,2,205,2,712,20102,17,1,,1,,,,1,,1,,,21,,,,,,
2,2,205,2,712,20104,1,1,,1,,,1,,,1,,,21,,,,98,,
2,2,205,2,712,20104,22,1,,,,,,1,,1,,,21,,,,98,,
2,2,205,2,712,20108,12,1,,1,,,,1,,1,,,21,,,,98,,
2,2,218,2,1592,20113,17,1,,2,,,1,1,,1,,,12,,,,1,,
5,3,331,1,2322,30004,3,1,,,,,,1,,1,,,8,,,,1,2,
5,3,331,1,2322,30007,5,1,,5,1,1,1,1,1,1,,,3,,,,3,,
5,3,331,1,516,30016,1,1,,1,,,,,1,1,,,2,,,,98,,
5,3,316,2,874,30030,9,1,,1,,,1,,,,,,,,,,98,,
5,3,309,2,478,30032,1,1,,,,1,,,,1,,,1,,,,1,2,
5,3,309,2,478,30038,3,1,,1,,1,1,1,,,2,,2,5,8,,1,,
5,3,309,2,478,30038,5,1,,1,,1,1,1,,1,,,2,5,8,,1,,
5,3,307,1,634,30042,2,1,,1,,,,1,,1,,,7,,,,98,,
5,3,307,1,634,30049,9,1,,1,,,,1,,,,,,,,,98,,
5,3,321,2,364,30054,2,1,,,,,,1,,2,,,3,8,,,1,,
5,3,321,2,364,30055,3,1,,3,,,1,1,1,1,,,3,,,,1,2,3
5,3,321,2,364,30056,2,1,,,,,,1,,2,,,2,,,,1,,
5,3,321,2,364,30057,2,1,,2,1,,,,,1,,,14,,,,98,,
5,3,321,2,364,30057,9,1,,2,,,,1,1,,2,,14,,,,98,,
