"zone","state","lga","sector","ea","hhid","lat_dd_mod","lon_dd_mod","qa_type","dist_road","dist_popcenter","dist_market","dist_borderpost","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","fsrad3_lcmaj","ssa_aez09","afmnslp_pct","srtm_nga","twi_nga","srtm_nga_5_15","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2010_tot","h2010_wetQ","h2010_wetQstart","eviarea_avg","evimax_avg","grn_avg","sen_avg","h2010_eviarea","h2010_evimax","h2010_grn","h2010_sen"
4,1,102,1,1690,10052,5.09037333332,7.36620770377,2,1.1,1.7,2.9,528,51,264,251,2357,374,1027,1,110,314,0.9425057,56,18,1,3,2,1,1,1,1,1,1943,873,17,1608,616,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,1690,10053,5.09037333332,7.36620770377,1,1.3,1.9,3,528,51.1,264,251,2357,374,1027,4,110,314,0.9425057,56,18,1,3,2,1,1,1,1,1,1944,873,17,1609,617,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,1690,10054,5.09037333332,7.36620770377,2,1.1,1.7,2.9,528,51,264,251,2357,374,1027,1,110,314,0.9425057,56,18,1,3,2,1,1,1,1,1,1943,873,17,1608,616,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,1690,10055,5.09037333332,7.36620770377,2,1.2,1.8,2.9,528,51,264,251,2357,374,1027,1,110,314,0.9425057,56,18,1,3,2,1,1,1,1,1,1943,873,17,1608,616,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,1690,10056,5.09037333332,7.36620770377,2,1.1,1.7,2.9,528,51,264,251,2357,374,1027,1,110,314,0.9425057,56,18,1,3,2,1,1,1,1,1,1943,873,17,1608,616,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,1690,10057,5.09037333332,7.36620770377,1,1.2,1.8,2.9,528,51,264,251,2357,374,1027,4,110,314,0.9425057,56,18,1,3,2,1,1,1,1,1,1943,873,17,1608,616,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,1690,10058,5.09037333332,7.36620770377,2,1.1,1.7,2.9,528,51,264,251,2357,374,1027,1,110,314,0.9425057,56,18,1,3,2,1,1,1,1,1,1943,873,17,1608,616,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,1690,10059,5.09037333332,7.36620770377,2,1.2,1.8,2.9,528,51,264,251,2357,374,1027,1,110,314,0.9425057,56,18,1,3,2,1,1,1,1,1,1943,873,17,1608,616,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,102,1,1690,10060,5.09037333332,7.36620770377,2,1.2,1.8,2.9,528,51,264,251,2357,374,1027,1,110,314,0.9425057,56,18,1,3,2,1,1,1,1,1,1943,873,17,1608,616,11,37.8,0.499,108,334,43,0.5105,100,339
4,1,107,2,1044,10061,5.31524834074,7.4334346461,1,5.2,22,20.3,528.3,27.9,261,248,2246,344,960,14,40,314,1.536011,109,20,1,3,2,1,1,1,1,1,1917,884,16,1625,655,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,107,2,1044,10062,5.31524834074,7.4334346461,1,5.5,21.9,20.1,528.6,28.1,261,248,2246,344,960,10,40,314,1.536011,109,20,1,3,2,1,1,1,1,1,1919,884,16,1626,655,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,107,2,1044,10063,5.31524834074,7.4334346461,1,5,22,20.3,528.1,27.9,261,248,2246,344,960,14,40,314,1.536011,110,14,1,3,2,1,1,1,1,1,1917,884,16,1625,655,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,107,2,1044,10064,5.31524834074,7.4334346461,1,5.2,22,20.3,528.3,27.9,261,248,2246,344,960,14,40,314,1.536011,110,15,1,3,2,1,1,1,1,1,1917,884,16,1625,655,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,107,2,1044,10065,5.31524834074,7.4334346461,1,5.2,21.9,20.2,528.3,28,261,248,2246,344,960,14,40,314,1.536011,110,14,1,3,2,1,1,1,1,1,1917,884,16,1625,655,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,107,2,1044,10066,5.31524834074,7.4334346461,1,5.2,21.9,20.2,528.3,28,261,248,2246,344,960,14,40,314,1.536011,110,14,1,3,2,1,1,1,1,1,1917,884,16,1625,655,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,107,2,1044,10067,5.31524834074,7.4334346461,3,5.3,21.9,20.2,528.4,28,261,248,2246,344,960,8,40,314,1.536011,111,14,1,3,2,1,1,1,1,1,1918,884,16,1626,655,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,107,2,1044,10068,5.31524834074,7.4334346461,1,5.3,22,20.2,528.4,28,261,248,2246,344,960,14,40,314,1.536011,111,14,1,3,2,1,1,1,1,1,1918,884,16,1625,655,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,107,2,1044,10069,5.31524834074,7.4334346461,1,5.5,21.9,20.1,528.6,28.1,261,248,2246,344,960,10,40,314,1.536011,109,20,1,3,2,1,1,1,1,1,1919,884,16,1626,655,14,37.8,0.499,108,334,43,0.5105,100,339
4,1,107,2,1044,10070,5.31524834074,7.4334346461,1,5,22,20.3,528.1,27.9,261,248,2246,344,960,14,40,314,1.536011,110,14,1,3,2,1,1,1,1,1,1916,884,16,1625,655,14,37.8,0.499,108,334,43,0.5105,100,339
