"zone","state","lga","sector","ea","hhid","death_num","s15bq3","s15bq4","s15bq5a","s15bq5b","s15bq5c","s15bq6","s15bq6b","tracked_obs"
2,5,515,2,18,50029,1,2,40,20,3,12,1,,0
2,5,502,2,3878,50039,1,1,2,,,,1,,0
2,5,504,2,708,50047,1,2,7,12,2,13,1,,0
2,5,504,2,708,50048,1,1,6,10,11,12,1,,0
2,5,513,2,348,50055,1,2,4,20,10,12,1,,0
2,5,513,2,348,50056,1,1,5,10,10,12,1,,0
2,5,513,2,348,50058,1,1,2,99,10,12,,,0
2,5,513,2,348,50059,1,2,80,,8,12,1,,0
2,5,501,2,60,50074,1,1,4,,4,11,1,,0
2,5,501,2,60,50077,1,2,,,1,13,1,,0
2,5,516,2,942,50084,1,2,7,24,9,12,1,,0
2,5,516,2,942,50086,1,2,6,28,11,12,1,,0
2,5,516,2,942,50090,1,2,14,13,10,12,1,,0
2,5,508,2,984,50092,1,2,1,,4,12,1,,0
2,5,508,2,718,50113,1,1,3,22,11,12,1,,0
2,5,508,2,718,50120,1,1,82,,7,12,1,,0
2,5,510,1,872,50126,1,1,61,10,11,12,1,,0
2,5,518,2,1588,50132,1,2,20,0,4,11,1,,0
2,5,518,2,1588,50132,2,1,7,0,4,11,1,,0
2,5,510,2,1516,50141,1,1,9,10,8,12,1,,0
2,5,518,2,1304,50152,1,1,1,3,4,2,1,,0
2,5,518,2,1304,50157,1,1,2,6,12,12,1,,0
2,5,518,2,1304,50159,1,1,3,0,7,13,1,,0
5,6,602,2,1356,60007,1,1,3,27,3,13,1,,3
5,6,608,1,3978,60028,1,1,15,3,1,13,1,,0
5,6,605,2,162,60054,1,1,44,29,6,12,1,,0
5,6,605,2,0,60060,1,1,60,27,5,13,1,,1
5,6,608,2,748,60064,1,1,75,1,11,12,1,,0
1,7,709,2,1226,70075,1,1,70,3,9,12,1,,0
1,7,719,1,1612,70081,1,1,46,4,1,13,1,,0
1,7,718,2,1640,70129,1,1,45,2,5,2,1,,0
1,7,713,2,304,70152,1,2,62,16,10,12,1,,0
1,7,713,2,304,70156,1,2,7,16,11,12,1,,0
2,8,821,1,5062,80023,1,1,60,15,5,12,1,,0
2,8,816,2,1270,80038,1,1,52,1,7,11,1,,0
2,8,816,2,1270,80040,1,1,13,20,8,12,1,,0
2,8,803,1,944,80048,1,2,42,0,9,12,1,,0
2,8,802,2,1152,80075,1,1,28,11,1,13,3,,0
2,8,802,2,1152,80076,1,2,25,9,9,12,1,,0
2,8,812,2,866,80083,1,1,22,15,9,12,1,,0
2,8,805,2,46,80096,1,1,58,20,9,12,1,,0
2,8,827,2,804,80104,1,1,22,4,7,12,1,,0
2,8,827,2,804,80105,1,1,5,0,0,11,1,,0
2,8,827,2,804,80105,2,1,3,0,0,12,1,,0
2,8,827,2,804,80110,1,1,48,18,8,11,1,,0
2,8,807,2,946,80119,1,2,30,20,8,11,1,,0
2,8,807,2,2396,80122,1,2,15,12,7,11,1,,0
2,8,820,2,1030,80146,1,1,64,8,4,12,1,,0
2,8,820,2,1030,80149,1,1,3,12,9,11,1,,0
2,8,823,2,548,80174,1,1,61,15,6,11,1,,0
2,8,809,2,1748,80186,1,1,8,18,8,11,1,,0
2,8,809,2,1748,80189,1,1,62,21,7,11,1,,0
2,8,826,2,926,80194,1,2,10,12,3,11,1,,0
2,8,826,2,926,80195,1,1,5,11,8,11,1,,0
2,8,815,2,362,80204,1,1,19,0,8,12,1,,0
2,8,815,2,362,80210,1,2,52,14,8,11,1,,0
5,9,915,1,1390,90021,1,1,52,15,12,12,1,,0
5,9,915,1,1390,90021,2,2,52,12,6,12,1,,0
5,9,917,1,1254,90035,1,1,12,14,4,12,1,,0
5,9,907,2,1446,90064,1,1,57,16,3,13,1,,0
5,9,912,2,102,90079,1,2,57,27,5,12,1,,0
5,9,912,2,102,90079,2,1,74,18,11,11,1,,0
5,9,916,2,1068,90083,1,2,9,3,11,12,1,,0
5,9,918,2,834,90094,1,1,45,4,8,12,1,,0
5,9,913,2,2266,90124,1,1,7,21,11,12,1,,0
