"hhid","zone","state","lga","sector","ea","ric","wt_wave2","wt_combined","hhno","qno","qnoa","saq11","saq12","saq13d","saq13m","saq13y","saq14ah","saq14am","saq14bh","saq14bm","saq15","saq16","saq17d","saq17m","saq17y","saq18ah","saq18am","saq18bh","saq18bm","saq19","saq20","saq21d","saq21m","saq21y","saq22ah","saq22am","saq22bh","saq22bm","saq23","saq24","saq1","saq2","tracked_obs"
100088,5,10,1005,2,1374,1102,10522.009923437,12025.1541982137,10,1,1,6,2,5,3,2013,12,10,13,30,3,3,5,3,2013,14,10,17,25,,,,,,,,,,,,1,1,0
100089,5,10,1005,2,1374,1102,10522.009923437,12025.1541982137,14,1,1,7,2,5,3,2013,9,35,10,26,3,3,5,3,2013,12,3,14,20,1,1,,,,,,,,,,1,1,0
100090,5,10,1005,2,1374,1102,10522.009923437,12025.1541982137,13,1,2,7,2,4,3,2013,10,20,13,3,3,3,4,3,2013,14,35,16,55,1,1,,,,,,,,,,1,1,0
100091,5,10,1005,1,662,1203,,,14,1,1,6,2,26,2,2013,11,45,11,55,3,3,,,,,,,,,,,,,,,,,,,3,2,0
100092,5,10,1005,1,662,1203,13650.1750358101,13650.1750358101,10,1,1,4,2,28,2,2013,9,0,11,20,1,1,28,2,2013,16,28,19,39,1,1,,,,,,,,,,1,1,0
100093,5,10,1005,1,662,1203,13650.1750358101,13650.1750358101,18,1,2,7,2,26,2,2013,11,57,13,53,3,3,27,2,2013,10,22,12,30,1,1,,,,,,,,,,1,1,0
100094,5,10,1005,1,662,1203,13650.1750358101,13650.1750358101,22,1,3,6,2,27,2,2013,9,30,13,50,3,3,28,2,2013,9,20,11,58,1,1,,,,,,,,,,1,1,0
100095,5,10,1005,1,662,1203,13650.1750358101,13650.1750358101,16,1,1,6,2,26,2,2013,12,10,15,15,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100096,5,10,1005,1,662,1203,13650.1750358101,13650.1750358101,22,1,1,7,2,27,2,2013,14,15,16,2,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100097,5,10,1005,1,662,1203,13650.1750358101,13650.1750358101,1,1,2,4,2,26,2,2013,11,47,13,55,1,3,27,2,2013,13,15,16,20,1,1,,,,,,,,,,1,1,0
100098,5,10,1005,1,662,1203,13650.1750358101,13650.1750358101,31,1,1,4,2,26,2,2013,14,50,16,55,3,3,27,2,2013,8,9,11,35,1,1,,,,,,,,,,1,1,0
100099,5,10,1005,1,662,1203,,,5,1,1,4,2,26,2,2013,8,0,8,5,3,3,,,,,,,,,,,,,,,,,,,4,4,0
100100,5,10,1005,1,662,1203,,,27,1,1,7,2,27,2,2013,16,30,17,45,3,3,28,2,2013,10,35,12,5,1,1,,,,,,,,,,1,1,0
100101,5,10,1018,2,898,1208,19565.2508846611,19565.2508846611,24,1,2,7,2,15,3,2013,9,35,12,35,3,3,15,3,2013,14,40,17,55,1,1,,,,,,,,,,1,1,0
100102,5,10,1018,2,898,1208,19565.2508846611,19565.2508846611,30,1,2,4,2,13,3,2013,9,20,11,40,3,3,15,3,2013,10,14,13,22,1,1,,,,,,,,,,1,1,0
100103,5,10,1018,2,898,1208,19565.2508846611,19565.2508846611,49,1,2,7,2,14,3,2013,11,25,14,10,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100104,5,10,1018,2,898,1208,19565.2508846611,19565.2508846611,75,1,2,7,2,13,3,2013,8,30,12,34,3,3,13,3,2013,14,10,16,21,1,1,,,,,,,,,,1,1,0
100105,5,10,1018,2,898,1208,19565.2508846611,19565.2508846611,11,1,2,4,2,14,3,2013,12,3,16,20,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100106,5,10,1018,2,898,1208,19565.2508846611,19565.2508846611,56,1,1,7,2,13,3,2013,16,40,18,3,3,3,14,3,2013,8,10,10,40,1,1,,,,,,,,,,1,1,0
100107,5,10,1018,2,898,1208,19565.2508846611,19565.2508846611,43,1,1,4,2,14,3,2013,8,34,11,16,3,3,15,3,2013,16,18,19,0,1,1,,,,,,,,,,1,1,0
100108,5,10,1018,2,898,1208,19565.2508846611,19565.2508846611,62,1,2,6,2,13,3,2013,14,0,18,0,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100109,5,10,1018,2,898,1208,19565.2508846611,19565.2508846611,18,1,2,6,2,14,3,2013,10,10,14,20,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100110,5,10,1018,2,898,1208,19565.2508846611,19565.2508846611,81,1,2,6,2,13,3,2013,9,10,13,40,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100111,5,10,1018,1,634,1508,6825.08751790505,6825.08751790505,3,1,1,4,2,10,3,2013,9,13,12,18,3,3,11,3,2013,14,25,17,33,1,1,,,,,,,,,,1,1,0
100112,5,10,1018,1,634,1508,6825.08751790505,6825.08751790505,7,1,1,6,2,11,3,2013,9,10,12,30,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100113,5,10,1018,1,634,1508,6825.08751790505,6825.08751790505,12,1,1,4,2,10,3,2013,15,5,17,17,3,3,11,3,2013,19,10,20,15,1,1,,,,,,,,,,1,1,0
100114,5,10,1018,1,634,1508,6825.08751790505,6825.08751790505,4,1,2,6,2,10,3,2013,8,30,10,45,3,3,11,3,2013,9,45,12,10,1,1,,,,,,,,,,1,1,0
100115,5,10,1018,1,634,1508,6825.08751790505,6825.08751790505,10,1,2,4,2,10,3,2013,13,0,14,14,3,3,13,3,2013,13,18,15,11,1,1,,,,,,,,,,1,1,0
100116,5,10,1018,1,634,1508,,,13,1,1,6,2,,,,,,,,3,3,,,,,,,,3,3,,,,,,,,,,4,4,0
100117,5,10,1018,1,634,1508,6825.08751790505,6825.08751790505,9,1,2,7,2,12,3,2013,8,53,12,15,3,3,12,3,2013,13,35,16,48,1,1,,,,,,,,,,1,1,0
100118,5,10,1018,1,634,1508,6825.08751790505,6825.08751790505,11,1,1,7,2,10,3,2013,15,30,17,56,3,3,11,3,2013,7,10,10,21,1,1,,,,,,,,,,1,1,0
100119,5,10,1018,1,634,1508,6825.08751790505,6825.08751790505,2,1,1,7,2,10,3,2013,10,25,14,12,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100120,5,10,1018,1,634,1508,6825.08751790505,6825.08751790505,8,1,2,7,2,11,3,2013,11,30,14,25,3,3,11,3,2013,15,35,18,50,1,1,,,,,,,,,,1,1,0
100121,5,10,1020,1,38,1408,17972.7304638166,17972.7304638166,6,1,1,7,2,7,3,2013,13,25,15,56,3,3,8,3,2013,7,10,11,1,1,1,,,,,,,,,,1,1,0
100122,5,10,1020,1,38,1408,17972.7304638166,17972.7304638166,10,1,1,6,2,7,3,2013,8,30,10,45,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100123,5,10,1020,1,38,1408,17972.7304638166,17972.7304638166,26,1,1,4,2,7,3,2013,17,0,19,30,3,3,8,3,2013,8,49,11,40,1,1,,,,,,,,,,1,1,0
100124,5,10,1020,1,38,1408,17972.7304638166,17972.7304638166,42,1,1,6,2,7,3,2013,11,30,13,50,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100125,5,10,1020,1,38,1408,17972.7304638166,17972.7304638166,2,1,1,7,2,8,3,2013,12,5,15,57,1,1,,,,,,,,,,,,,,,,,,1,1,1,0
100126,5,10,1020,1,38,1408,17972.7304638166,17972.7304638166,38,1,1,7,2,9,3,2013,9,26,13,45,3,3,9,3,2013,15,10,17,35,1,1,,,,,,,,,,1,1,0
100127,5,10,1020,1,38,1408,17972.7304638166,17972.7304638166,18,1,2,4,2,7,3,2013,10,0,13,15,3,3,8,3,2013,16,3,19,0,1,1,,,,,,,,,,1,1,0
100128,5,10,1013,2,0,0,17972.7304638166,17972.7304638166,0,1,1,,,29,6,2013,10,35,12,6,17,,,,,,,,,,,,,,,,,,,,1,1,3
100129,5,10,1020,1,38,1408,17972.7304638166,17972.7304638166,54,1,1,4,2,9,3,2013,8,5,10,30,3,3,9,3,2013,16,0,18,8,1,1,,,,,,,,,,1,1,0
100130,5,10,1020,1,38,1408,17972.7304638166,17972.7304638166,22,1,1,6,2,8,3,2013,13,30,16,45,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100131,5,10,1025,2,1774,1110,10364.0217864484,10364.0217864484,8,1,1,6,2,17,3,2013,9,0,12,15,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100132,5,10,1025,2,1774,1110,10364.0217864484,10364.0217864484,6,1,1,7,2,16,3,2013,12,35,17,10,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100133,5,10,1025,2,1774,1110,10364.0217864484,10364.0217864484,3,1,1,7,2,17,3,2013,15,55,17,30,3,3,18,3,2013,13,56,13,56,1,1,,,,,,,,,,1,1,0
100134,5,10,1025,2,1774,1110,10364.0217864484,10364.0217864484,1,1,1,6,2,16,3,2013,9,20,12,40,1,1,,,,,,,,,,,,,,,,,,,1,1,0
100135,5,10,1025,2,1774,1110,10364.0217864484,10364.0217864484,2,1,1,7,2,17,3,2013,8,35,11,5,3,3,17,3,2013,13,25,15,7,1,1,,,,,,,,,,1,1,0
100136,5,10,1025,2,1774,1110,10364.0217864484,10364.0217864484,7,1,1,4,2,16,3,2013,9,17,11,51,3,3,16,3,2013,17,8,19,14,1,1,,,,,,,,,,1,1,0
100137,5,10,1025,2,1774,1110,,,4,1,1,4,2,17,3,2013,14,20,14,28,3,3,,,,,,,,,,,,,,,,,,,5,5,0
100138,5,10,1025,2,1774,1110,10364.0217864484,10364.0217864484,5,1,1,4,2,17,3,2013,16,30,19,22,3,3,18,3,2013,11,4,15,0,1,1,,,,,,,,,,1,1,0
100139,5,10,1024,1,0,0,10364.0217864484,10364.0217864484,0,1,1,0,0,28,6,2013,11,35,13,40,1,1,,,,,,,,,,,,,,,,,,,1,1,1
100140,5,10,1024,1,0,0,10364.0217864484,10364.0217864484,0,1,1,0,0,30,6,2013,9,12,12,44,1,1,,,,,,,,,,,,,,,,,,,1,1,1
110001,4,11,1104,1,2028,1304,3618.34144377665,3618.34144377665,10,1,1,5,1,23,2,2013,14,10,16,1,3,3,24,2,2013,9,2,12,0,3,3,25,2,2013,11,10,13,55,1,1,1,1,0
110002,4,11,1104,1,2028,1304,3618.34144377665,3618.34144377665,16,1,1,2,1,23,2,2013,12,10,13,30,3,3,24,2,2013,15,20,16,40,3,3,25,2,2013,10,20,12,15,1,1,1,1,0
110003,4,11,1104,1,2028,1304,3618.34144377665,3618.34144377665,3,1,1,3,1,23,2,2013,12,0,14,28,3,3,24,2,2013,16,0,16,49,3,3,25,2,2013,15,22,17,31,1,1,1,1,0
110004,4,11,1104,1,2028,1304,3618.34144377665,3618.34144377665,30,1,1,3,1,23,2,2013,8,30,9,30,3,3,24,2,2013,10,25,12,30,3,3,25,2,2013,13,0,14,5,1,1,1,1,0
110005,4,11,1104,1,2028,1304,3618.34144377665,3618.34144377665,1,1,1,2,1,23,2,2013,14,0,16,10,3,3,24,2,2013,17,10,18,50,3,3,25,2,2013,12,40,13,48,1,1,1,1,0
110006,4,11,1104,1,2028,1304,3618.34144377665,3618.34144377665,8,1,1,0,1,23,2,2013,11,0,14,1,3,3,24,2,2013,12,5,15,20,3,3,25,2,2013,7,35,10,15,1,1,1,1,0
110007,4,11,1104,1,2028,1304,3618.34144377665,3618.34144377665,32,1,1,3,1,23,2,2013,9,45,11,20,3,3,24,2,2013,13,2,15,9,3,3,25,2,2013,12,55,15,3,1,1,1,1,0
110008,4,11,1104,1,2028,1304,3618.34144377665,3618.34144377665,12,1,1,4,1,23,2,2013,13,55,16,20,3,3,24,2,2013,16,30,18,45,3,3,25,2,2013,11,55,16,20,1,1,1,1,0
110009,4,11,1104,1,2028,1304,3618.34144377665,3618.34144377665,25,1,1,4,1,23,2,2013,11,1,13,42,3,3,24,2,2013,14,5,16,0,3,3,25,2,2013,7,30,10,3,1,1,1,1,0
110010,4,11,1104,1,2028,1304,3618.34144377665,3618.34144377665,14,1,1,5,1,23,2,2013,16,2,18,5,3,3,24,2,2013,7,15,9,0,3,3,25,2,2013,14,20,16,30,1,1,1,1,0
110011,4,11,1112,2,1952,1409,4939.32324071098,4939.32324071098,30,1,2,5,1,10,3,2013,10,0,13,10,3,3,11,3,2013,9,5,12,30,1,1,,,,,,,,,,1,1,0
110012,4,11,1112,2,1952,1409,4939.32324071098,4939.32324071098,27,1,2,5,1,10,3,2013,16,40,19,15,3,3,11,3,2013,16,20,19,43,1,1,,,,,,,,,,1,1,0
110013,4,11,1112,2,1952,1409,4939.32324071098,4939.32324071098,23,1,2,5,1,10,3,2013,13,25,16,30,3,3,11,3,2013,12,40,16,5,1,1,,,,,,,,,,1,1,0
110014,4,11,1112,2,1952,1409,4939.32324071098,4939.32324071098,20,1,2,2,1,10,3,2013,13,15,17,25,3,3,11,3,2013,12,40,16,15,1,1,,,,,,,,,,1,1,0
110015,4,11,1112,2,1952,1409,4939.32324071098,4939.32324071098,15,1,2,2,1,10,3,2013,8,50,13,5,3,3,11,3,2013,9,10,12,25,1,1,,,,,,,,,,1,1,0
110016,4,11,1112,2,1952,1409,4939.32324071098,4939.32324071098,13,1,2,3,1,10,3,2013,12,43,14,0,3,3,11,3,2013,14,2,17,57,1,1,,,,,,,,,,1,1,0
110017,4,11,1112,2,1952,1409,4939.32324071098,4939.32324071098,18,1,2,4,1,10,3,2013,10,30,14,15,3,3,11,3,2013,9,45,12,50,1,1,,,,,,,,,,1,1,0
110018,4,11,1112,2,1952,1409,4939.32324071098,4939.32324071098,11,1,2,3,1,10,3,2013,8,58,12,0,3,3,11,3,2013,9,22,13,9,1,1,,,,,,,,,,1,1,0
110019,4,11,1112,2,1952,1409,,,8,1,1,4,1,10,3,2013,16,42,18,5,3,3,11,3,2013,16,22,18,47,1,1,,,,,,,,,,1,1,0
110020,4,11,1112,2,1952,1409,4939.32324071098,4939.32324071098,25,1,2,4,1,10,3,2013,14,25,16,35,3,3,11,3,2013,13,0,16,10,1,1,,,,,,,,,,1,1,0
110021,4,11,1112,2,78,1009,2377.7672344818,2377.7672344818,4,1,2,4,1,6,3,2013,10,5,12,55,3,3,9,3,2013,11,30,14,15,1,1,,,,,,,,,,1,1,0
110022,4,11,1112,2,78,1009,2377.7672344818,2377.7672344818,31,1,2,3,1,8,3,2013,9,15,12,8,3,3,9,3,2013,8,12,11,20,1,1,,,,,,,,,1,1,1,0
110023,4,11,1112,2,78,1009,2377.7672344818,2377.7672344818,12,1,2,3,1,8,3,2013,12,34,13,40,3,3,9,3,2013,12,0,15,55,1,1,,,,,,,,,1,1,1,0
110024,4,11,1112,2,78,1009,2377.7672344818,2377.7672344818,1,1,2,5,1,8,3,2013,12,45,15,30,3,3,9,3,2013,13,25,16,10,1,1,,,,,,,,,1,1,1,0
110025,4,11,1112,2,78,1009,2377.7672344818,2377.7672344818,34,1,2,4,1,8,3,2013,13,10,16,0,3,3,9,3,2013,14,45,16,0,1,1,,,,,,,,,1,1,1,0
110026,4,11,1112,2,78,1009,2377.7672344818,2377.7672344818,20,1,2,3,1,8,3,2013,14,5,17,10,3,3,9,3,2013,16,20,18,13,1,1,,,,,,,,,1,1,1,0
110027,4,11,1112,2,78,1009,2377.7672344818,2377.7672344818,6,1,2,5,1,8,3,2013,16,10,18,0,3,3,9,3,2013,16,15,18,25,,,,,,,,,,,,1,1,0
110028,4,11,1112,2,78,1009,2377.7672344818,2377.7672344818,39,1,2,2,1,8,3,2013,14,0,18,30,3,3,9,3,2013,14,30,18,40,1,1,,,,,,,,,,1,1,0
110029,4,11,1112,2,78,1009,2377.7672344818,2377.7672344818,37,1,2,5,1,8,3,2013,9,20,12,35,3,3,9,3,2013,10,0,13,5,1,1,,,,,,,,,1,1,1,0
110030,4,11,1112,2,78,1009,2377.7672344818,2377.7672344818,28,1,2,2,1,8,3,2013,9,20,13,50,3,3,9,3,2013,9,30,14,10,1,1,,,,,,,,,,1,1,0
110031,4,11,1110,2,714,1108,2274.38605037389,2274.38605037389,16,1,2,5,1,28,2,2013,15,38,17,0,3,3,1,3,2013,10,15,13,8,3,3,2,3,2013,14,0,15,35,1,1,1,1,0
110032,4,11,1110,2,714,1108,2274.38605037389,2274.38605037389,6,1,2,5,1,28,2,2013,12,47,15,6,3,3,1,3,2013,13,25,16,15,3,3,2,3,2013,12,35,13,45,1,1,1,1,0
110033,4,11,1110,2,714,1108,2274.38605037389,2274.38605037389,15,2,2,2,1,28,2,2013,15,45,17,50,3,3,1,3,2013,10,10,13,15,3,3,2,3,2013,10,45,14,0,1,1,1,1,0
110034,4,11,1110,2,714,1108,2274.38605037389,2274.38605037389,13,1,2,2,1,28,2,2013,13,5,15,35,3,3,1,3,2013,8,0,15,30,3,3,2,3,2013,9,40,13,0,1,1,1,1,0
110035,4,11,1110,2,714,1108,2274.38605037389,2274.38605037389,3,1,2,5,1,28,2,2013,17,5,18,20,3,3,1,3,2013,16,20,18,30,3,3,2,3,2013,9,30,12,25,1,1,1,1,0
110036,4,11,1110,2,714,1108,2274.38605037389,2274.38605037389,4,1,2,4,1,28,2,2013,12,41,14,0,3,3,1,2,2013,8,30,10,25,3,3,2,3,2013,10,35,12,14,1,1,1,1,0
110037,4,11,1110,2,714,1108,2274.38605037389,2274.38605037389,1,1,2,3,1,28,2,2013,15,22,16,55,3,3,1,3,2013,12,30,14,35,3,3,2,3,2013,16,0,17,53,1,1,1,1,0
110038,4,11,1110,2,714,1108,2274.38605037389,2274.38605037389,7,1,2,3,1,28,2,2013,13,8,14,54,3,3,1,2,2013,10,15,11,55,3,3,2,3,2013,13,2,15,28,1,1,1,1,0
110039,4,11,1110,2,714,1108,2274.38605037389,2274.38605037389,9,1,2,4,1,28,2,2013,14,24,16,0,3,3,1,3,2013,12,15,14,55,3,3,2,3,2013,13,5,16,22,1,1,1,1,0
110040,4,11,1110,2,714,1108,2274.38605037389,2274.38605037389,10,,,4,1,28,2,2013,16,8,18,20,3,3,1,3,2013,10,40,11,55,3,3,2,3,2013,16,45,17,38,1,1,1,1,0
110041,4,11,1110,2,2752,1508,2274.38605037389,2274.38605037389,2,1,2,5,1,18,3,2013,13,25,16,30,3,3,19,3,2013,14,25,17,0,1,1,,,,,,,,,,1,1,0
110042,4,11,1110,2,2752,1508,2274.38605037389,2274.38605037389,5,1,2,2,1,18,3,2013,13,0,15,20,3,3,19,3,2013,12,35,15,10,1,1,,,,,,,,,,1,1,0
110043,4,11,1110,2,2752,1508,2274.38605037389,2274.38605037389,12,1,2,2,1,18,3,2013,15,35,18,30,3,3,19,3,2013,15,25,18,40,1,1,,,,,,,,,,1,1,0
110044,4,11,1110,2,2752,1508,2274.38605037389,2274.38605037389,9,1,2,2,1,18,3,2013,9,0,12,30,3,3,19,3,2013,9,30,12,20,1,1,,,,,,,,,,1,1,0
110045,4,11,1110,2,2752,1508,2274.38605037389,2274.38605037389,1,1,2,5,1,18,3,2013,9,20,13,10,3,3,19,3,2013,10,0,14,15,1,1,,,,,,,,,,1,1,0
110046,4,11,1110,2,2752,1508,2274.38605037389,2274.38605037389,3,1,2,4,1,18,3,2013,9,5,12,50,3,3,19,3,2013,11,0,14,25,1,1,,,,,,,,,,1,1,0
110047,4,11,1110,2,2752,1508,2274.38605037389,2274.38605037389,6,1,2,4,1,18,3,2013,13,0,15,20,3,3,19,3,2013,15,0,16,15,1,1,,,,,,,,,,1,1,0
110048,4,11,1110,2,2752,1508,2274.38605037389,2274.38605037389,7,1,2,3,1,18,3,2013,11,15,14,32,3,3,19,3,2013,12,15,14,21,1,1,,,,,,,,,,1,1,0
110049,4,11,1110,2,2752,1508,2274.38605037389,2274.38605037389,15,1,2,3,1,18,3,2013,15,0,18,3,3,3,19,3,2013,15,15,18,30,1,1,,,,,,,,,,1,1,0
110050,4,11,1110,2,2752,1508,2274.38605037389,2274.38605037389,10,1,2,3,1,18,3,2013,8,31,11,0,3,3,19,3,2013,9,2,12,5,1,1,,,,,,,,,,1,1,0
110051,4,11,1108,2,492,1206,3928.48499610036,3928.48499610036,1,1,2,2,1,6,3,2013,9,15,13,0,3,3,7,3,2013,10,5,13,20,1,1,,,,,,,,,1,1,1,0
110052,4,11,1108,2,492,1206,3928.48499610036,3928.48499610036,14,1,1,5,1,6,3,2013,13,25,16,30,3,3,7,3,2013,14,16,17,5,1,1,,,,,,,,,1,1,1,0
